time_slot,Bus-01_kw,Bus-02_kw,Bus-03_kw,Bus-04_kw,Staff-01_kw,Staff-02_kw,ev_total_kw,building_load_kw,contract_limit_kw,site_total_kw,tou_price_per_kwh,Bus-01_soc,Bus-02_soc,Bus-03_soc,Bus-04_soc,Staff-01_soc,Staff-02_soc
54,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.5875311154448127,0.43250940602069177,0.7187167728406928,0.5649081543866888
55,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.5987479277332421,0.44247281480604006,0.7277482425251119,0.575269309404396
56,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.6099647400216716,0.45243622359138835,0.7367797122095311,0.5856304644221033
57,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.621181552310101,0.46239963237673665,0.7458111818939503,0.5959916194398105
58,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.6323983645985304,0.47236304116208494,0.7548426515783695,0.6063527744575178
59,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.6436151768869598,0.48232644994743323,0.7638741212627886,0.6167139294752251
60,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.6548319891753892,0.4922898587327815,0.7729055909472079,0.6270750844929323
61,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.6660488014638186,0.5022532675181298,0.7819370606316272,0.6374362395106394
62,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.677265613752248,0.5122166763034781,0.7909685303160463,0.6477973945283467
63,0.0,0.0,15.605999705640913,12.398908710655636,3.0789101196883584,3.5322119378547434,34.61603047383966,210.0,400.0,244.61603047383966,0.1,0.8500000000001438,0.9000000000000775,0.6884824260406774,0.5221800850888264,0.8000000000004654,0.658158549546054
64,0.0,0.0,18.003804724036193,13.04619304062847,0.0,3.566032709169344,34.61603047383401,210.0,400.0,244.616030473834,0.18,0.8500000000001438,0.9000000000000775,0.7014226606860785,0.5326636330679029,0.8000000000004654,0.6686189121596173
65,0.0,0.0,18.003804724036193,13.04619304062847,0.0,3.566032709169344,34.61603047383401,210.0,400.0,244.616030473834,0.18,0.8500000000001438,0.9000000000000775,0.7143628953314795,0.5431471810469793,0.8000000000004654,0.6790792747731809
66,0.0,0.0,18.003804724036193,13.04619304062847,0.0,3.566032709169344,34.61603047383401,210.0,400.0,244.616030473834,0.18,0.8500000000001438,0.9000000000000775,0.7273031299768804,0.5536307290260558,0.8000000000004654,0.6895396373867442
67,0.0,0.0,18.003804724036193,13.04619304062847,0.0,3.566032709169344,34.61603047383401,210.0,400.0,244.616030473834,0.18,0.8500000000001438,0.9000000000000775,0.7402433646222815,0.5641142770051323,0.8000000000004654,0.7000000000003077
68,0.0,0.0,20.78491665314617,13.831113820663969,0.0,0.0,34.61603047381014,320.0,400.0,354.61603047381016,0.18,0.8500000000001438,0.9000000000000775,0.7551825234667302,0.5752285648967372,0.8000000000004654,0.7000000000003077
69,0.0,0.0,20.78491665314617,13.831113820663969,0.0,0.0,34.61603047381014,320.0,400.0,354.61603047381016,0.18,0.8500000000001438,0.9000000000000775,0.7701216823111791,0.5863428527883422,0.8000000000004654,0.7000000000003077
70,0.0,0.0,20.78491665314617,13.831113820663969,0.0,0.0,34.61603047381014,320.0,400.0,354.61603047381016,0.18,0.8500000000001438,0.9000000000000775,0.7850608411556279,0.5974571406799472,0.8000000000004654,0.7000000000003077
